QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	AnswerPhrase1	AnswerPhrase2	AnswerPhrase3
Q33	how are antibodies used in	D33	antibody	D33-3	Each tip of the "Y" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.		Each tip of the "Y" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision	Each tip of the "Y" of an antibody contains a paratope
Q33	how are antibodies used in	D33	antibody	D33-4	Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).		Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival)	an antibody can tag a microbe or an infected cell
Q42	how much is jk rowling worth	D42	J. K. Rowling	D42-11	The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.		£560 million ($798 million)	$798 million
Q43	how big is auburndale florida	D43	Auburndale, Florida	D43-2	According to the U.S Census estimates of 2005, the city had a population of 12,381.		12,381	12,381
Q45	how old is kirk douglas, the actor?	D45	Kirk Douglas	D45-0	Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.		born Issur Danielovitch, ; December 9, 1916	December 9, 1916
Q46	how old is the singer bob seger	D46	Bob Seger	D46-0	Robert Clark "Bob" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .		born May 6, 1945	May 6, 1945
Q48	how long was i love lucy on the air	D48	I Love Lucy	D48-1	The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).		from October 15, 1951, to May 6, 1957	from October 15, 1951, to May 6, 1957
Q50	how long was richard nixon a president	D50	Richard Nixon	D50-0	Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.		from 1969 to 1974	from 1969 to 1974
Q59	HOW MUCH IS CENTAVOS IN MEXICO	D59	Mexican peso	D59-4	The peso is subdivided into 100 centavos, represented by " ¢ ".		The peso is subdivided into 100 centavos	The peso is subdivided into 100 centavos
Q64	How long was Mickie James with WWE?	D64	Mickie James	D64-5	James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.		October 2005	NO_ANS
Q66	how did armando christian perez become famous	D66	Pitbull (entertainer)	D66-0	Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.		American rapper, songwriter, and record producer	NO_ANS
Q75	how old were the twin towers when destroyed	D75	World Trade Center	D75-1	The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.		opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001	NO_ANS
Q77	how are the # of electrons in each shell determined	D77	Electron shell	D77-4	Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.		The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on	Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on
Q89	how many presidents of the us	D89	List of Presidents of the United States	D89-11	There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.		43	43
Q94	how old is beatrice author	D94	Bea Arthur	D94-0	Beatrice "Bea" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.		May 13, 1922 – April 25, 2009	NO_ANS
Q98	how are public schools funded	D98	state school	D98-0	State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .		by taxation	by taxation
Q98	how are public schools funded	D98	state school	D98-1	The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.		funded, in whole or in part, and overseen by government	by government
Q100	what happens  to the light independent reactions of photosynthesis?	D100	Light-independent reactions	D100-2	The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .		chemical reactions that convert carbon dioxide and other compounds into glucose	chemical reactions that convert carbon dioxide and other compounds into glucose
Q100	what happens  to the light independent reactions of photosynthesis?	D100	Light-independent reactions	D100-4	These reactions take the light-dependent reactions and perform further chemical processes on them.		These reactions take the light-dependent reactions and perform further chemical processes on them	NO_ANS
Q102	how does interlibrary loan work	D102	Interlibrary loan	D102-0	Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.		a user of one library can borrow books or receive photocopies of documents that are owned by another library	a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library
Q102	how does interlibrary loan work	D102	Interlibrary loan	D102-1	The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.		The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return	The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return
Q104	what did mia hamm do his work	D104	Mia Hamm	D104-0	Mariel Margaret "Mia" Hamm (born March 17, 1972) is a retired American professional soccer player.		retired American professional soccer player	retired American professional soccer player
Q105	what bacteria grow on macconkey agar	D105	MacConkey agar	D105-2	MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .		Gram-negative bacteria	Gram-negative bacteria
Q107	what countries are under the buddhism religion	D107	Buddhism by country	D107-10	This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.		China, South Korea, Japan, Taiwan, Singapore, and Vietnam	China, South Korea, Japan, Taiwan, Singapore, and Vietnam
Q108	how did wild bill's father die	D108	Wild Bill Hickok	D108-5	He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).		NO_ANS	shot and killed while playing poker
Q109	how many land rovers have landed on mars	D109	Mars rover	D109-4	There have been four successful robotically operated Mars rovers.		four	four
Q110	how do forensic auditors examine financial reporting	D110	Financial audit	D110-1	The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.		The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework	The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework
Q110	how do forensic auditors examine financial reporting	D110	Financial audit	D110-2	The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.		NO_ANS	NO_ANS
Q110	how do forensic auditors examine financial reporting	D110	Financial audit	D110-3	Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.		typically performed by firms of practicing accountants who are experts in financial reporting	NO_ANS
Q112	what bird family is the owl	D112	Owl	D112-0	Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .		the order Strigiformes	the order Strigiformes
Q113	how did harmon killebrew get strong	D113	Harmon Killebrew	D113-9	With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.		With quick hands and exceptional upper-body strength	NO_ANS
Q116	What did the augurs use to interpret the will of the gods?	D116	Augur	D116-2	His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.		by studying the flight of birds	by studying the flight of birds
Q117	How much did Waterboy grossed	D117	The Waterboy	D117-4	The movie was extremely profitable, earning $161.5 million in North America alone.		earning $161.5 million in North America alone	161.5 million in North America
Q118	What county is Farmington Hills, MI in?	D118	Farmington Hills, Michigan	D118-1	It is the second largest city in Oakland County in the U.S. state of Michigan .		Oakland County	Oakland County
Q121	what does a groundhog look for on groundhog day	D121	Groundhog Day	D121-1	According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.		According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks	its shadow
Q127	What committees are joint committees	D127	Joint committee	D127-0	A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.		a committee made up of members of both chambers of a bicameral legislature	a committee made up of members of both chambers of a bicameral legislature
Q129	how many stripes on the flag	D129	Flag of the United States	D129-1	The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.		13	13 stripes
Q130	How many states and territories are within India?	D130	States and territories of India	D130-0	India is a federal union of states comprising twenty-eight states and seven union territories .		twenty-eight states and seven union territories	twenty-eight states
Q132	how is whooping cough distinguished from similar diseases	D132	Pertussis	D132-2	Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched "whoop" sound in infected babies and children when they inhale air after coughing.		produce the namesake high-pitched "whoop" sound	severe coughing fits, which produce the namesake high-pitched "whoop" sound
Q132	how is whooping cough distinguished from similar diseases	D132	Pertussis	D132-3	The coughing stage lasts approximately six weeks before subsiding.		The coughing stage lasts approximately six weeks before subsiding	NO_ANS
Q136	what county is galveston in texas	D136	Galveston County, Texas	D136-0	Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.		Galveston County	Galveston County
Q137	what cities are in the bahamas	D137	List of cities in the Bahamas	D137-0	Nassau		Nassau	Nassau
Q137	what cities are in the bahamas	D137	List of cities in the Bahamas	D137-1	Freeport, Bahamas		Freeport	Freeport
Q139	how many schools are in the big ten	D139	Big Ten Conference	D139-1	Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.		twelve	twelve
Q140	how is single malt scotch made	D140	Single malt Scotch	D140-0	Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.		using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient	made in Scotland using a pot still distillation process at a single distillery
Q140	how is single malt scotch made	D140	Single malt Scotch	D140-1	As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).		a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years	matured in oak casks in Scotland for at least three years
Q141	what composer used sound mass	D141	Sound mass	D141-4	Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .		Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate	Barbara Kolb
Q141	what composer used sound mass	D141	Sound mass	D141-7	A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).		Jean-Féry Rebel	Jean-Féry Rebel
Q141	what composer used sound mass	D141	Sound mass	D141-8	A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.		Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music	Ruth Crawford Seeger
Q141	what composer used sound mass	D141	Sound mass	D141-9	The use of "chords approaching timbres" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).		Debussy and Edgard Varèse	NO_ANS
Q141	what composer used sound mass	D141	Sound mass	D141-10	Other examples include European "textural" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).		Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65)	Krzysztof Penderecki
Q141	what composer used sound mass	D141	Sound mass	D141-11	Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .		Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky	Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky
Q141	what composer used sound mass	D141	Sound mass	D141-12	Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).		George Crumb	George Crumb
Q144	How Do You Play Spades	D144	Spades	D144-2	The object is to take at least the number of tricks that were bid before play of the hand began.		The object is to take at least the number of tricks that were bid before play of the hand began	The object is to take at least the number of tricks that were bid before play of the hand began
Q145	what continent is australia	D145	Australia (continent)	D145-0	Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.		Australia	Australia is a continent
Q146	what causes heart disease	D146	Cardiovascular disease	D146-2	The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.		atherosclerosis and/or hypertension are the most common	The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common
Q147	what countries did immigrants come from during the immigration	D147	History of immigration to the United States	D147-1	The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.		NO_ANS	Europe and also Africa and Asia
Q147	what countries did immigrants come from during the immigration	D147	History of immigration to the United States	D147-3	Starting around 1600 British and other Europeans settled primarily on the east coast .		British and other Europeans	Starting around 1600 British and other Europeans settled primarily on the east coast
Q150	how many people live in atlanta georgia	D150	Atlanta	D150-0	Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.		432,427	estimated 2011 population of 432,427
Q150	how many people live in atlanta georgia	D150	Atlanta	D150-1	Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.		5,457,831	5,457,831 people
Q159	what does it mean to be a commonwealth state	D159	Commonwealth	D159-0	Commonwealth is a traditional English term for a political community founded for the common good.		Commonwealth is a traditional English term for a political community founded for the common good	a political community founded for the common good
Q163	how long can you be in the supreme court	D163	Supreme Court of the United States	D163-3	Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .		life tenure	justices have life tenure unless
Q164	what county in texas is conroe located in	D164	Conroe, Texas	D164-0	Conroe is the seat of Montgomery County and falls within the metropolitan area.		Montgomery County	Montgomery County
Q165	what can sql 2005 do	D165	Microsoft SQL Server	D165-1	As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).		As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet)	primary function is to store and retrieve data as requested by other software applications
Q167	how many people were killed in the oklahoma city bombing	D167	Oklahoma City bombing	D167-2	The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.		168	168 lives
Q172	What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?	D172	ARIA Music Awards	D172-3	Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.		Ben Lee	Ben Lee won three awards
Q178	how does a dredge work?	D178	Dredging	D178-1	Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.		Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location	NO_ANS
Q178	how does a dredge work?	D178	Dredging	D178-5	A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.		A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water	NO_ANS
Q178	how does a dredge work?	D178	Dredging	D178-6	For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.		a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger	a scoop attached to the end of a rope or pole
Q178	how does a dredge work?	D178	Dredging	D178-7	Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.		a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger	a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water
Q178	how does a dredge work?	D178	Dredging	D178-9	If the crane is mounted on a barge, the entire vessel is referred to as a dredger.		If the crane is mounted on a barge, the entire vessel is referred to as a dredger	NO_ANS
Q180	what did benedict arnold die	D180	Benedict arnold	D180-18	He returned to London to settle permanently in 1791, where he died ten years later.		He returned to London to settle permanently in 1791, where he died ten years later	NO_ANS
Q181	how many world series did curt schilling have	D181	Curt Schilling	D181-1	He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .		He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox	NO_ANS
Q185	how many ports are there in networking	D185	Port (computer networking)	D185-9	Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.		about 250	Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host
Q188	what area code is 479	D188	Area code 479	D188-0	Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.		northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville	the telephone area code serving thirteen counties in northwest Arkansas
Q188	what area code is 479	D188	Area code 479	D188-2	Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.		Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas	Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas
Q189	what does arraignment mean	D189	Arraignment	D189-0	Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.		Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her	a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her
Q190	what did chaucer do	D190	Geoffrey Chaucer	D190-1	While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.		author, philosopher, alchemist and astronomer	he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat
Q190	what did chaucer do	D190	Geoffrey Chaucer	D190-3	Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.		Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin	a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin
Q193	what does am and pm stand for	D193	12-hour clock	D193-0	The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning "before midday") and p.m. (post meridiem, "after midday").		a.m. (from the Latin ante meridiem, meaning "before midday") and p.m. (post meridiem, "after midday")	(from the Latin ante meridiem, meaning "before midday") and p.m. (post meridiem, "after midday")
Q195	how is canada's health care	D195	Comparison of the health care systems in Canada and the United States	D195-9	A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that "health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent."		health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.	that "health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent."
Q197	how many xbox 360 games are there	D197	List of Xbox 360 games	D197-11	There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013.		952	952 games
Q203	how do pineapples grow	D203	Pineapple	D203-1	Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.		cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months	cultivated from a crown cutting of the fruit
Q207	what country did wine originate in	D207	History of wine	D207-2	Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.		what is now the country of Georgia	the country of Georgia around 7000 BCE
Q208	how many district are in west bengal	D208	List of districts of West Bengal	D208-6	In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .		14	4 districts
Q210	how many towns in new hampshire	D210	List of cities and towns in New Hampshire	D210-0	This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .		221	221 towns
Q214	what does salesforce.com do?	D214	Salesforce.com	D214-1	Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the "social enterprise arena" through acquisitions.		customer relationship management (CRM)	best known for its customer relationship management (CRM) product
Q217	what does 1 year mean to the planet	D217	Earth	D217-12	During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .		one orbit around the Sun	the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year
Q219	what is feedback mechanism in plants during respiration	D219	Cellular respiration	D219-1	Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.		Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products	processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products
